u,v,key,osmid,highway,name,oneway,ref,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,width,access,traffic
473474085,473474086,0,39521608,unclassified,西五番街通り,True,,False,134.020028455337,"LINESTRING (139.7643137 35.6716928, 139.7642654 35.6716966, 139.7642262 35.6716932, 139.7641865 35.6716768, 139.763348 35.6708831, 139.7633034 35.6708462)",,,,,,,1
473474085,304153029,0,539237085,primary,晴海通り,True,304,False,53.5213445316468,"LINESTRING (139.7643137 35.6716928, 139.7639363 35.6719751, 139.7638769 35.672018)",3,,,,,,1
473474086,475008840,0,39629578,unclassified,みゆき通り,True,,False,39.7168298190798,"LINESTRING (139.7633034 35.6708462, 139.7636402 35.6706166)",,30,,,,,1
473474086,565362087,0,240595362,unclassified,,True,,False,130.593387213577,"LINESTRING (139.7633034 35.6708462, 139.7632585 35.6708085, 139.7624106 35.6699908, 139.7623684 35.6699506)",,,,,,,1
473474087,565362073,0,4848930,tertiary,御門通り,True,,False,44.6077578873455,"LINESTRING (139.7602354 35.6679378, 139.7599011 35.6680494, 139.7598788 35.6680572, 139.7597795 35.6680919)",,,,,,,1
475008839,473474087,0,4848930,tertiary,御門通り,True,,False,41.5966768782557,"LINESTRING (139.7606628 35.6677986, 139.7602354 35.6679378)",,,,,,,1
475008839,565362079,0,39629166,residential,金春通り,False,,False,152.764311577443,"LINESTRING (139.7606628 35.6677986, 139.760715 35.6678481, 139.761737 35.6687971, 139.7617757 35.668833)",,,,,,,1
475008840,473462992,0,39629578,unclassified,みゆき通り,True,,False,48.9633626571598,"LINESTRING (139.7636402 35.6706166, 139.7639285 35.6704079, 139.7639713 35.6703769, 139.7640459 35.6703246)",,30,,,,,1
475008840,565362098,0,240595360,unclassified,銀座すずらん通り,True,,False,131.703812843265,"LINESTRING (139.7636402 35.6706166, 139.7636793 35.6706515, 139.7645234 35.6714413, 139.76454 35.6714674, 139.7645407 35.6714984, 139.7645315 35.6715284)",,,,,,,1
475010342,1130958878,0,680788593,primary,晴海通り,True,304,False,62.5606129516537,"LINESTRING (139.7660409 35.6703807, 139.7655487 35.6707765)",3,,,,,,1
475010342,5218144609,0,904911912,unclassified,,False,,True,16.9254113565574,"LINESTRING (139.7660409 35.6703807, 139.7659728 35.6703354, 139.765896 35.6702842)",,,,,,,1
475010618,6188342496,0,39520581,unclassified,銀座コリドー通り,True,,False,72.3807832664901,"LINESTRING (139.7603033 35.671398, 139.7605847 35.6719255, 139.7606232 35.6719948)",,,,,,,1
499185613,1105125075,0,968060910,tertiary,銀座桜通り,False,,False,37.736070274886,"LINESTRING (139.7695383 35.6743414, 139.7692171 35.6745584)",,,,,,,1
499185613,1105125707,0,968060910,tertiary,銀座桜通り,False,,True,16.9067631124954,"LINESTRING (139.7695383 35.6743414, 139.7696956 35.674259)",,,,,,,1
499185613,1105125539,0,95274326,unclassified,銀座三原通り,True,,False,146.257048468287,"LINESTRING (139.7695383 35.6743414, 139.7694941 35.6742937, 139.7686012 35.6733359, 139.768561 35.6732927)",,,,,,,1
